Name,Rate,Rating
Apple iPhone 13 (128GB) - Midnight,"50,999",4.6 out of 5 stars
Apple iPhone 15 (128 GB) - Blue,"79,900",4.1 out of 5 stars
Apple iPhone 13 (128GB) - Pink,"50,999",4.6 out of 5 stars
Apple iPhone 13 (128GB) - Blue,"50,999",4.6 out of 5 stars
Apple iPhone 13 (128GB) - Starlight,"50,999",4.6 out of 5 stars
Apple iPhone 13 (128GB) - Midnight,"50,999",4.6 out of 5 stars
Apple iPhone 13 (128GB) - Green,"50,999",4.6 out of 5 stars
Apple iPhone 15 (128 GB) - Blue,"79,900",4.1 out of 5 stars
Apple iPhone 15 Pro (1 TB) - White Titanium,"1,84,900",3.1 out of 5 stars
Apple iPhone 15 (256 GB) - Blue,"89,900",4.1 out of 5 stars
Apple iPhone 15 Plus (128 GB) - Black,"89,900",4.3 out of 5 stars
Apple iPhone 15 Pro (128 GB) - Natural Titanium,"1,34,900",3.1 out of 5 stars
Apple iPhone 15 Pro Max (256 GB) - Natural Titanium,"1,59,900",3.7 out of 5 stars
Apple iPhone 15 Pro (128 GB) - Blue Titanium,"1,34,900",3.1 out of 5 stars
Apple iPhone 15 Pro Max (256 GB) - Blue Titanium,"1,59,900",3.7 out of 5 stars
Apple iPhone 13 (128GB) - (Product) RED,"50,999",4.6 out of 5 stars
Apple iPhone 15 Pro (256 GB) - Natural Titanium,"1,44,900",3.1 out of 5 stars
Apple iPhone 15 Plus (128 GB) - Blue,"89,900",4.3 out of 5 stars
Apple iPhone 13 (128GB) - Starlight,"50,999",4.6 out of 5 stars
Apple iPhone 15 (128 GB) - Blue,"79,900",4.1 out of 5 stars
Apple iPhone 15 Plus (128 GB) - Green,"89,900",4.3 out of 5 stars
Apple iPhone 15 (128 GB) - Black,"79,900",4.1 out of 5 stars
Apple iPhone 15 Pro (256 GB) - Blue Titanium,"1,44,900",3.1 out of 5 stars
Apple iPhone 15 (128 GB) - Pink,"79,900",4.1 out of 5 stars
Apple iPhone 13 (256GB) - Starlight,"60,999",4.6 out of 5 stars
Apple iPhone 13 (256GB) - Blue,"60,999",4.6 out of 5 stars
Apple iPhone 15 (128 GB) - Yellow,"79,900",4.1 out of 5 stars
Apple iPhone 15 (128 GB) - Green,"79,900",4.1 out of 5 stars
Apple iPhone 15 (256 GB) - Black,"89,900",4.1 out of 5 stars
Apple iPhone 15 (256 GB) - Pink,"89,900",4.1 out of 5 stars
Apple iPhone 15 (256 GB) - Green,"89,900",4.1 out of 5 stars
Apple iPhone 14 Pro (256 GB) - Gold,"1,39,900",4.6 out of 5 stars
Apple iPhone 15 Pro (128 GB) - Black Titanium,"1,34,900",3.1 out of 5 stars
Apple iPhone 13 (512GB) - Pink,"69,499",4.6 out of 5 stars
Apple iPhone 14 Pro (128 GB) - Gold,"1,29,900",4.6 out of 5 stars
Apple iPhone 15 (128 GB) - Blue,"79,900",4.1 out of 5 stars
Apple iPhone 13 (128GB) - Starlight,"50,999",4.6 out of 5 stars
Apple iPhone 15 Plus (256 GB) - Blue,"99,900",4.3 out of 5 stars
Apple iPhone 15 Pro Max (256 GB) - Black Titanium,"1,59,900",3.7 out of 5 stars
Apple iPhone 15 Pro (128 GB) - White Titanium,"1,34,900",3.1 out of 5 stars
Apple iPhone 15 Plus (512 GB) - Pink,"1,19,900",4.3 out of 5 stars
Apple iPhone 15 Plus (128 GB) - Pink,"89,900",4.3 out of 5 stars
Apple iPhone 15 (512 GB) - Pink,"1,09,900",4.1 out of 5 stars
Apple iPhone 15 Pro (1 TB) - Blue Titanium,"1,84,900",3.1 out of 5 stars
Apple iPhone 13 (256GB) - (Product) RED,"59,499",4.6 out of 5 stars
Apple iPhone 13 (256GB) - Midnight,"60,999",4.6 out of 5 stars
Apple iPhone 15 Plus (256 GB) - Green,"99,900",4.3 out of 5 stars
Apple iPhone 15 (512 GB) - Blue,"1,09,900",4.1 out of 5 stars
Apple iPhone 15 Plus (256 GB) - Pink,"99,900",4.3 out of 5 stars
Apple iPhone 15 Pro Max (256 GB) - White Titanium,"1,59,900",3.7 out of 5 stars
Apple iPhone 15 Plus (128 GB) - Yellow,"89,900",4.3 out of 5 stars
Apple iPhone 14 Pro (256 GB) - Silver,"1,39,900",4.6 out of 5 stars
Apple iPhone 15 (256 GB) - Yellow,"89,900",4.1 out of 5 stars
Apple iPhone 15 (128 GB) - Blue,"79,900",4.1 out of 5 stars
Apple iPhone 13 (128GB) - Starlight,"50,999",4.6 out of 5 stars
Apple iPhone 15 Plus (128 GB) - Yellow,"89,900",4.3 out of 5 stars
Apple iPhone 15 Plus (256 GB) - Pink,"99,900",4.3 out of 5 stars
Apple iPhone 13 (256GB) - Midnight,"60,999",4.6 out of 5 stars
Apple iPhone 13 (512GB) - (Product) RED,"69,499",4.6 out of 5 stars
Apple iPhone 15 Pro Max (256 GB) - White Titanium,"1,59,900",3.7 out of 5 stars
